PrecioActual,PrecioAnterior,metros,habitaciones,baños,planta_num,Latitud,Longitud,zona_barajas,zona_barrio-de-salamanca,zona_carabanchel,zona_centro,zona_chamartin,zona_chamberi,zona_ciudad-lineal,zona_fuencarral,zona_hortaleza,zona_latina,zona_moncloa,zona_moratalaz,zona_puente-de-vallecas,zona_retiro,zona_san-blas,zona_tetuan,zona_usera,zona_vicalvaro,zona_villa-de-vallecas,zona_villaverde,ascensor_S,localizacion_EXTERIOR
119500,0,63,3.0,0,3.0,40.4605781,-3.6982806,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
418000,0,74,2.0,0,1.0,40.383894,-3.7064459,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
950000,0,78,2.0,0,6.0,40.4389621,-3.705302,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
455000,0,87,2.0,0,2.0,40.3739576,-3.6121632,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True
599900,0,97,2.0,2,0.0,40.4364379,-3.6857028,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
129000,0,60,2.0,0,2.0,40.4275001,-3.615954,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
520000,0,84,1.0,0,5.0,40.4176527,-3.7079547,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
256400,0,66,1.0,0,1.0,40.3969535,-3.6972891,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
1395000,0,100,3.0,0,4.0,40.4364379,-3.6857028,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
639000,0,80,1.0,0,3.0,40.4364379,-3.6857028,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
550000,0,131,2.0,2,1.0,40.4725491,-3.6425515,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
2200000,0,170,3.0,0,8.0,40.4364379,-3.6857028,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
218000,0,72,3.0,0,1.0,40.3742112,-3.744676,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
395000,0,41,1.0,0,2.0,40.4176527,-3.7079547,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
540000,0,121,3.0,0,3.0,40.4733176,-3.5798446,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2100000,0,131,3.0,0,6.0,40.4111495,-3.6760566,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
810431,0,75,1.0,0,5.0,40.4389621,-3.705302,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
1823000,0,278,9.0,0,2.0,40.4176527,-3.7079547,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
225000,0,69,2.0,0,3.0,40.383894,-3.7064459,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
969000,0,165,5.0,0,6.0,40.4364379,-3.6857028,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
152000,0,63,2.0,1,1.0,40.3742112,-3.744676,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
230000,0,75,3.0,0,0.0,40.3742112,-3.744676,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
895300,0,119,2.0,0,2.0,40.4725491,-3.6425515,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
399000,0,62,1.0,0,2.0,40.4176527,-3.7079547,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
1198500,1285449,244,4.0,0,6.0,40.426213,-3.7009931,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
200000,0,75,3.0,0,2.0,40.3456104,-3.6959556,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
1720000,0,175,2.0,0,1.0,40.4364379,-3.6857028,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
220000,0,106,3.0,0,1.0,40.3456104,-3.6959556,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
500000,0,110,3.0,0,1.0,40.4176527,-3.7079547,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
525000,0,63,2.0,0,1.0,40.4389621,-3.705302,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
1240000,0,601,9.0,0,3.0,40.426213,-3.7009931,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
315000,0,80,2.0,2,1.0,40.3742112,-3.744676,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
680000,0,196,4.0,2,2.0,40.4035317,-3.736152,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1695000,0,492,5.0,0,3.0,40.426213,-3.7009931,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1335000,0,291,3.0,3,2.0,40.4350196,-3.719236,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
696000,0,104,4.0,0,2.0,40.4176527,-3.7079547,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
310000,0,50,1.0,0,2.0,40.3969535,-3.6972891,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1565000,0,237,4.0,0,4.0,40.4111495,-3.6760566,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
2750000,0,1240,16.0,0,2.0,40.4350196,-3.719236,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1250000,0,232,4.0,0,1.0,40.3969535,-3.6972891,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
365000,375000,56,1.0,0,1.0,40.4739539,-3.6827087,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
447000,0,84,2.0,0,1.0,40.3969535,-3.6972891,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
360000,0,40,1.0,1,5.0,40.4389621,-3.705302,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
280000,0,100,3.0,0,2.0,40.3868601,-3.6591803,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
349000,0,45,1.0,0,1.0,40.4176527,-3.7079547,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
385000,0,76,3.0,0,2.0,40.4605781,-3.6982806,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
249000,0,59,2.0,0,1.0,40.4484305,-3.650495,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
398000,0,86,3.0,0,1.0,40.4605781,-3.6982806,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
650000,0,93,3.0,1,1.0,40.4389621,-3.705302,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1000000,0,125,3.0,0,2.0,40.4176527,-3.7079547,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
260000,0,42,1.0,0,1.0,40.4111495,-3.6760566,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
777000,0,136,3.0,0,3.0,40.4725491,-3.6425515,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
1100000,0,162,4.0,0,2.0,40.4389621,-3.705302,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
420000,0,142,3.0,0,2.0,40.3742112,-3.744676,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
6950000,0,405,4.0,0,2.0,40.4111495,-3.6760566,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
189000,0,98,2.0,0,1.0,40.3739576,-3.6121632,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True
299000,0,98,5.0,4,0.0,40.4035317,-3.736152,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
119000,124000,65,2.0,0,0.0,40.3742112,-3.744676,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
929680,0,185,4.0,0,2.0,40.4725491,-3.6425515,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
1050000,0,199,3.0,0,0.0,40.4111495,-3.6760566,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
3600000,0,236,4.0,0,1.0,40.4111495,-3.6760566,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
420000,0,117,2.0,2,7.0,40.4275001,-3.615954,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
81100,0,60,3.0,1,2.0,40.3868601,-3.6591803,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
310000,0,40,2.0,1,4.0,40.4111495,-3.6760566,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1850000,0,390,7.0,0,3.0,40.4725491,-3.6425515,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
221200,0,85,3.0,0,4.0,40.3456104,-3.6959556,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
151000,0,70,2.0,0,0.0,40.3456104,-3.6959556,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
335000,0,34,1.0,1,0.0,40.4176527,-3.7079547,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2100000,0,275,5.0,0,5.0,40.4739539,-3.6827087,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
195000,0,95,1.0,0,0.0,40.3742112,-3.744676,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
230000,0,113,4.0,2,3.0,40.3742112,-3.744676,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
3190000,0,325,5.0,0,7.0,40.4739539,-3.6827087,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
1750000,0,208,4.0,1,4.0,40.4364379,-3.6857028,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
249900,0,67,1.0,0,1.0,40.4725491,-3.6425515,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
630000,0,118,2.0,2,4.0,40.4733176,-3.5798446,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
395000,0,80,2.0,0,0.0,40.4364379,-3.6857028,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
220000,0,46,3.0,0,0.0,40.4605781,-3.6982806,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
183800,0,64,1.0,0,2.0,40.3742112,-3.744676,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
86000,0,54,2.0,0,2.0,40.4275001,-3.615954,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
235000,0,60,2.0,0,1.0,40.3868601,-3.6591803,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2630000,0,306,5.0,0,4.0,40.4364379,-3.6857028,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
830000,0,101,2.0,0,3.0,40.4176527,-3.7079547,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
265000,0,55,1.0,0,0.0,40.4176527,-3.7079547,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
474000,0,114,3.0,0,0.0,40.4018377,-3.5950537,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
241000,0,75,2.0,0,4.0,40.4605781,-3.6982806,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1177000,0,196,4.0,0,5.0,40.3969535,-3.6972891,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
159000,0,70,3.0,1,1.0,40.3868601,-3.6591803,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
9500000,0,462,3.0,3,14.0,40.4739539,-3.6827087,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
820000,0,83,3.0,2,3.0,40.4389621,-3.705302,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
459900,0,85,2.0,0,4.0,40.4484305,-3.650495,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
940000,0,65,1.0,0,3.0,40.4739539,-3.6827087,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
