zona,PrecioActual,metros,habitaciones,ascensor,localizacion,planta,baños
usera,179000,46,1,S,INTERIOR,11ª,0
tetuan,299000,123,4,S,EXTERIOR,2ª,0
carabanchel,530000,120,3,S,EXTERIOR,10ª,0
carabanchel,185000,55,2,N,EXTERIOR,BAJO,0
fuencarral,650000,150,3,S,EXTERIOR,3ª,2
chamartin,1580000,175,2,S,EXTERIOR,BAJO,0
san-blas,755000,74,2,S,EXTERIOR,4ª,0
moncloa,649000,92,3,S,EXTERIOR,1ª,1
centro,349000,42,1,S,EXTERIOR,1ª,0
hortaleza,275000,70,2,S,EXTERIOR,BAJO,0
fuencarral,1450000,346,5,S,EXTERIOR,4ª,0
carabanchel,349900,96,3,S,EXTERIOR,1ª,0
latina,420000,103,3,N,EXTERIOR,3ª,0
usera,252000,55,2,N,EXTERIOR,BAJO,1
vicalvaro,453700,101,3,S,EXTERIOR,5ª,0
ciudad-lineal,342000,70,2,S,EXTERIOR,2ª,0
moncloa,909000,159,3,S,EXTERIOR,2ª,0
barrio-de-salamanca,1399000,120,2,S,EXTERIOR,1ª,2
hortaleza,1050000,337,5,S,EXTERIOR,4ª,3
puente-de-vallecas,140085,58,2,N,EXTERIOR,2ª,0
vicalvaro,462900,115,3,S,EXTERIOR,5ª,0
tetuan,350000,40,1,S,EXTERIOR,BAJO,0
tetuan,1950000,198,4,S,EXTERIOR,12ª,0
carabanchel,156000,54,3,N,EXTERIOR,BAJO,0
centro,1183000,147,3,S,EXTERIOR,5ª,0
chamberi,960000,180,5,S,EXTERIOR,1ª,0
barrio-de-salamanca,530000,40,1,S,EXTERIOR,3ª,0
arganzuela,326000,60,3,S,EXTERIOR,BAJO,0
carabanchel,298000,78,3,S,EXTERIOR,3ª,1
moncloa,635000,124,3,S,EXTERIOR,5ª,2
vicalvaro,380000,76,2,S,EXTERIOR,1ª,0
arganzuela,898000,127,2,S,EXTERIOR,6ª,0
usera,214500,62,3,N,INTERIOR,2ª,0
chamberi,790000,100,4,S,EXTERIOR,2ª,0
chamberi,1850000,262,4,S,EXTERIOR,9ª,0
retiro,430000,90,3,S,EXTERIOR,3ª,0
centro,459000,83,1,S,EXTERIOR,4ª,0
chamartin,1540000,206,2,S,EXTERIOR,BAJO,0
arganzuela,315000,52,1,S,INTERIOR,BAJO,0
carabanchel,178000,82,3,N,EXTERIOR,2ª,0
centro,595000,70,2,N,EXTERIOR,1ª,0
san-blas,290000,63,1,S,EXTERIOR,5ª,0
chamartin,700000,115,4,S,EXTERIOR,3ª,0
usera,170000,48,1,N,EXTERIOR,BAJO,0
barrio-de-salamanca,3750000,238,4,S,EXTERIOR,1ª,0
centro,750000,107,2,N,EXTERIOR,BAJO,1
san-blas,426000,156,4,S,EXTERIOR,1ª,0
barrio-de-salamanca,1350000,115,3,S,EXTERIOR,ENTREPLANTA,0
chamartin,675000,115,2,S,EXTERIOR,7ª,1
tetuan,209000,40,2,N,EXTERIOR,BAJO,0
carabanchel,139000,37,1,N,INTERIOR,1ª,1
centro,164900,33,2,N,INTERIOR,3ª,0
hortaleza,275000,69,3,N,EXTERIOR,2ª,0
barrio-de-salamanca,4390000,440,5,N,EXTERIOR,1ª,0
hortaleza,820000,203,3,S,EXTERIOR,4ª,0
barrio-de-salamanca,1789000,152,2,S,INTERIOR,2ª,0
chamartin,590000,83,2,S,INTERIOR,5ª,2
chamberi,599900,80,1,S,EXTERIOR,ENTREPLANTA,0
fuencarral,180000,40,1,S,EXTERIOR,BAJO,0
hortaleza,439000,60,1,S,EXTERIOR,4ª,0
barrio-de-salamanca,5000000,400,5,S,EXTERIOR,4ª,0
carabanchel,112000,67,1,N,EXTERIOR,3ª,0
carabanchel,505000,407,4,N,EXTERIOR,BAJO,0
centro,550000,149,5,N,EXTERIOR,2ª,2
centro,790000,114,4,S,EXTERIOR,1ª,0
chamartin,540000,126,3,S,EXTERIOR,1ª,2
ciudad-lineal,595000,100,2,S,EXTERIOR,11ª,0
ciudad-lineal,822000,110,2,S,EXTERIOR,BAJO,2
hortaleza,519000,106,2,S,EXTERIOR,12ª,0
latina,255000,76,3,N,EXTERIOR,1ª,0
centro,435000,40,1,S,EXTERIOR,3ª,0
centro,205000,37,1,N,INTERIOR,1ª,0
barrio-de-salamanca,2409000,209,3,S,INTERIOR,4ª,3
hortaleza,550000,117,3,S,EXTERIOR,1ª,2
